supplier,year,month,day,annual_usage,min_order_quantity,bracket_pricing,quantity,material_id,diameter,wall,length,num_bends,bend_radius,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,spec1,spec2,spec3,spec4,spec5,spec6,cost
41,2013,7,11510,0,0,1,1,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,21.9059330191
41,2013,7,11510,0,0,1,2,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,12.3412139793
41,2013,7,11510,0,0,1,5,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,6.60182614357
41,2013,7,11510,0,0,1,10,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4.68776951197
41,2013,7,11510,0,0,1,25,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,3.54156118026
41,2013,7,11510,0,0,1,50,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,3.2244064477
41,2013,7,11510,0,0,1,100,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,3.08252143577
41,2013,7,11510,0,0,1,250,2,6.35,0.71,137.0,8,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2.99905966404
41,2013,7,11510,0,0,1,1,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,21.9727024365
41,2013,7,11510,0,0,1,2,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,12.4079833967
41,2013,7,11510,0,0,1,5,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,6.66859556095
41,2013,7,11510,0,0,1,10,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4.75453892935
41,2013,7,11510,0,0,1,25,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,3.60833059764
41,2013,7,11510,0,0,1,50,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,3.29117586508
41,2013,7,11510,0,0,1,100,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,3.14929085315
41,2013,7,11510,0,0,1,250,2,6.35,0.71,137.0,9,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,3.06582908142
41,2013,9,11566,0,0,1,1,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,28.3742203279
41,2013,9,11566,0,0,1,2,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,16.5143025656
41,2013,9,11566,0,0,1,5,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,9.3977954964
41,2013,9,11566,0,0,1,10,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,7.02748117937
41,2013,9,11566,0,0,1,25,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,5.60306694191
41,2013,9,11566,0,0,1,50,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,5.19410426045
41,2013,9,11566,0,0,1,100,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,5.00770630359
41,2013,9,11566,0,0,1,250,4,19.05,1.24,109.0,4,50.8,0,0,0,1,1,0,0,0,1326,1.0,1333,1.0,1342,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4.89642394129
41,2013,8,11545,0,0,1,1,14,6.35,0.71,207.0,7,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,22.4150498267
41,2013,8,11545,0,0,1,2,14,6.35,0.71,207.0,7,19.05,0,0,0,2,2,0,0,0,1059,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,12.8503307868
