supplier,year,month,day,annual_usage,min_order_quantity,bracket_pricing,quantity,material_id,diameter,wall,length,num_bends,bend_radius,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,spec1,spec2,spec3,spec4,spec5,spec6,cost
41,2013,6,11496,0,0,1,1,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,6,11496,0,0,1,2,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,6,11496,0,0,1,5,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,6,11496,0,0,1,10,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,6,11496,0,0,1,25,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,6,11496,0,0,1,50,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,6,11496,0,0,1,100,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,6,11496,0,0,1,250,34,12.7,1.65,164.0,5,38.1,0,0,0,1,1,0,0,0,1201,2.0,1208,2.0,0,0.0,0,0,0,0,0,0,
41,2013,7,11510,0,0,1,1,19,6.35,0.71,127.0,7,19.05,0,0,0,2,2,0,0,0,939,2.0,0,0.0,0,0.0,0,0,0,0,0,0,
41,2013,7,11510,0,0,1,2,19,6.35,0.71,127.0,7,19.05,0,0,0,2,2,0,0,0,939,2.0,0,0.0,0,0.0,0,0,0,0,0,0,
41,2013,7,11510,0,0,1,5,19,6.35,0.71,127.0,7,19.05,0,0,0,2,2,0,0,0,939,2.0,0,0.0,0,0.0,0,0,0,0,0,0,
41,2013,7,11510,0,0,1,10,19,6.35,0.71,127.0,7,19.05,0,0,0,2,2,0,0,0,939,2.0,0,0.0,0,0.0,0,0,0,0,0,0,
41,2013,7,11510,0,0,1,25,19,6.35,0.71,127.0,7,19.05,0,0,0,2,2,0,0,0,939,2.0,0,0.0,0,0.0,0,0,0,0,0,0,
